Model,Accuracy,Precision,Recall,F1 Score
RNN,38.56502242152467,[88.12154696 16.27565982],[33.47324239 68.51851852],[48.51711027 26.30331754]
deep-RNN,91.03139013452915,[96.00862999 66.4893617 ],[93.38929696 77.16049383],[94.68085106 71.42857143]
LSTM,98.29596412556054,[98.1443299  99.31034483],[99.89506821 88.88888889],[99.01196048 93.81107492]
deep-LSTM,97.57847533632287,[97.34151329 99.27007299],[99.89506821 83.95061728],[98.60176075 90.96989967]
Bi-GRU,98.29596412556054,[98.1443299  99.31034483],[99.89506821 88.88888889],[99.01196048 93.81107492]
GRU,98.56502242152466,[98.75130073 97.4025974 ],[99.58027282 92.59259259],[99.16405434 94.93670886]
Naive Bayes,89.14798206278027,[98.13953488 58.82352941],[88.93572181 90.36144578],[93.31122167 71.25890736]
Multinomial NB,98.38565022421525,[99.15522703 94.04761905],[98.94625922 95.18072289],[99.05063291 94.61077844]
Random fores,85.1121076233184,[85.11210762  0.        ],[100.   0.],[91.95736434  0.        ]
BernoulliNB,97.30941704035875,[97.12820513 98.57142857],[99.78925184 83.13253012],[98.44074844 90.19607843]
ComplementNB,96.41255605381166,[99.3485342 82.4742268],[96.41728135 96.38554217],[97.86096257 88.88888889]
SVM,97.48878923766816,[ 97.13408393 100.        ],[100.          83.13253012],[98.54620976 90.78947368]
